date,year,eventLabel,typeLabel,category,impact,source
1910-01-01,1910,Descoberta do elétron (Rutherford),Avanço Científico,Avanço Científico,Alto,Historical_Dataset_Comprehensive
1912-01-01,1912,Consequências de Descoberta do elétron (Rutherf...,Avanço Científico (Consequências),Avanço Científico (Consequências),Médio,Historical_Dataset_Comprehensive
1908-01-01,1908,Evento relacionado a Descoberta do elétro...,Avanço Científico (Relacionado),Avanço Científico (Relacionado),Baixo,Historical_Dataset_Comprehensive
1911-01-01,1911,Evento relacionado a Descoberta do elétro...,Avanço Científico (Relacionado),Avanço Científico (Relacionado),Baixo,Historical_Dataset_Comprehensive
1912-01-01,1912,Evento relacionado a Descoberta do elétro...,Avanço Científico (Relacionado),Avanço Científico (Relacionado),Baixo,Historical_Dataset_Comprehensive
1922-01-01,1922,Descoberta da Insulina,Avanço Médico,Avanço Médico,Alto,Historical_Dataset_Comprehensive
1921-01-01,1921,Consequências de Descoberta da Insulina...,Avanço Médico (Consequências),Avanço Médico (Consequências),Médio,Historical_Dataset_Comprehensive
1921-01-01,1921,Evento relacionado a Descoberta da Insuli...,Avanço Médico (Relacionado),Avanço Médico (Relacionado),Baixo,Historical_Dataset_Comprehensive
1920-01-01,1920,Evento relacionado a Descoberta da Insuli...,Avanço Médico (Relacionado),Avanço Médico (Relacionado),Baixo,Historical_Dataset_Comprehensive
1922-01-01,1922,Evento relacionado a Descoberta da Insuli...,Avanço Médico (Relacionado),Avanço Médico (Relacionado),Baixo,Historical_Dataset_Comprehensive
1924-01-01,1924,Evento relacionado a Descoberta da Insuli...,Avanço Médico (Relacionado),Avanço Médico (Relacionado),Baixo,Historical_Dataset_Comprehensive
1928-01-01,1928,Penicilina (Fleming),Avanço Médico,Avanço Médico,Alto,Historical_Dataset_Comprehensive
1928-01-01,1928,Consequências de Penicilina (Fleming)...,Avanço Médico (Consequências),Avanço Médico (Consequências),Médio,Historical_Dataset_Comprehensive
1927-01-01,1927,Evento relacionado a Penicilina (Fleming)...,Avanço Médico (Relacionado),Avanço Médico (Relacionado),Baixo,Historical_Dataset_Comprehensive
1930-01-01,1930,Evento relacionado a Penicilina (Fleming)...,Avanço Médico (Relacionado),Avanço Médico (Relacionado),Baixo,Historical_Dataset_Comprehensive
1931-01-01,1931,Evento relacionado a Penicilina (Fleming)...,Avanço Médico (Relacionado),Avanço Médico (Relacionado),Baixo,Historical_Dataset_Comprehensive
1932-01-01,1932,Nêutron descoberto,Avanço Científico,Avanço Científico,Alto,Historical_Dataset_Comprehensive
1931-01-01,1931,Consequências de Nêutron descoberto...,Avanço Científico (Consequências),Avanço Científico (Consequências),Médio,Historical_Dataset_Comprehensive
1929-01-01,1929,Evento relacionado a Nêutron descoberto...,Avanço Científico (Relacionado),Avanço Científico (Relacionado),Baixo,Historical_Dataset_Comprehensive
1932-01-01,1932,Evento relacionado a Nêutron descoberto...,Avanço Científico (Relacionado),Avanço Científico (Relacionado),Baixo,Historical_Dataset_Comprehensive
1933-01-01,1933,Evento relacionado a Nêutron descoberto...,Avanço Científico (Relacionado),Avanço Científico (Relacionado),Baixo,Historical_Dataset_Comprehensive
1941-01-01,1941,Reator nuclear (Fermi),Avanço Tecnológico,Avanço Tecnológico,Alto,Historical_Dataset_Comprehensive
1941-01-01,1941,Consequências de Reator nuclear (Fermi)...,Avanço Tecnológico (Consequências),Avanço Tecnológico (Consequências),Médio,Historical_Dataset_Comprehensive
1941-01-01,1941,Evento relacionado a Reator nuclear (Ferm...,Avanço Tecnológico (Relacionado),Avanço Tecnológico (Relacionado),Baixo,Historical_Dataset_Comprehensive
1942-01-01,1942,Evento relacionado a Reator nuclear (Ferm...,Avanço Tecnológico (Relacionado),Avanço Tecnológico (Relacionado),Baixo,Historical_Dataset_Comprehensive
1944-01-01,1944,Evento relacionado a Reator nuclear (Ferm...,Avanço Tecnológico (Relacionado),Avanço Tecnológico (Relacionado),Baixo,Historical_Dataset_Comprehensive
1946-01-01,1946,Bomba atômica,Avanço Militar,Avanço Militar,Alto,Historical_Dataset_Comprehensive
1946-01-01,1946,Consequências de Bomba atômica...,Avanço Militar (Consequências),Avanço Militar (Consequências),Médio,Historical_Dataset_Comprehensive
1944-01-01,1944,Evento relacionado a Bomba atômica...,Avanço Militar (Relacionado),Avanço Militar (Relacionado),Baixo,Historical_Dataset_Comprehensive
1943-01-01,1943,Evento relacionado a Bomba atômica...,Avanço Militar (Relacionado),Avanço Militar (Relacionado),Baixo,Historical_Dataset_Comprehensive
1945-01-01,1945,Evento relacionado a Bomba atômica...,Avanço Militar (Relacionado),Avanço Militar (Relacionado),Baixo,Historical_Dataset_Comprehensive
1947-01-01,1947,Evento relacionado a Bomba atômica...,Avanço Militar (Relacionado),Avanço Militar (Relacionado),Baixo,Historical_Dataset_Comprehensive
1954-01-01,1954,Estrutura do DNA,Avanço Científico,Avanço Científico,Alto,Historical_Dataset_Comprehensive
1952-01-01,1952,Consequências de Estrutura do DNA...,Avanço Científico (Consequências),Avanço Científico (Consequências),Médio,Historical_Dataset_Comprehensive
1952-01-01,1952,Evento relacionado a Estrutura do DNA...,Avanço Científico (Relacionado),Avanço Científico (Relacionado),Baixo,Historical_Dataset_Comprehensive
1953-01-01,1953,Evento relacionado a Estrutura do DNA...,Avanço Científico (Relacionado),Avanço Científico (Relacionado),Baixo,Historical_Dataset_Comprehensive
1954-01-01,1954,Evento relacionado a Estrutura do DNA...,Avanço Científico (Relacionado),Avanço Científico (Relacionado),Baixo,Historical_Dataset_Comprehensive
1955-01-01,1955,Evento relacionado a Estrutura do DNA...,Avanço Científico (Relacionado),Avanço Científico (Relacionado),Baixo,Historical_Dataset_Comprehensive
1956-01-01,1956,Sputnik 1,Avanço Espacial,Avanço Espacial,Alto,Historical_Dataset_Comprehensive
1958-01-01,1958,Consequências de Sputnik 1...,Avanço Espacial (Consequências),Avanço Espacial (Consequências),Médio,Historical_Dataset_Comprehensive
1955-01-01,1955,Evento relacionado a Sputnik 1...,Avanço Espacial (Relacionado),Avanço Espacial (Relacionado),Baixo,Historical_Dataset_Comprehensive
1957-01-01,1957,Evento relacionado a Sputnik 1...,Avanço Espacial (Relacionado),Avanço Espacial (Relacionado),Baixo,Historical_Dataset_Comprehensive
1960-01-01,1960,Evento relacionado a Sputnik 1...,Avanço Espacial (Relacionado),Avanço Espacial (Relacionado),Baixo,Historical_Dataset_Comprehensive
1961-01-01,1961,Voos espaciais tripulados,Avanço Espacial,Avanço Espacial,Alto,Historical_Dataset_Comprehensive
1961-01-01,1961,Consequências de Voos espaciais tripulados...,Avanço Espacial (Consequências),Avanço Espacial (Consequências),Médio,Historical_Dataset_Comprehensive
1958-01-01,1958,Evento relacionado a Voos espaciais tripu...,Avanço Espacial (Relacionado),Avanço Espacial (Relacionado),Baixo,Historical_Dataset_Comprehensive
1959-01-01,1959,Evento relacionado a Voos espaciais tripu...,Avanço Espacial (Relacionado),Avanço Espacial (Relacionado),Baixo,Historical_Dataset_Comprehensive
1962-01-01,1962,Evento relacionado a Voos espaciais tripu...,Avanço Espacial (Relacionado),Avanço Espacial (Relacionado),Baixo,Historical_Dataset_Comprehensive
1968-01-01,1968,Homem na Lua,Avanço Espacial,Avanço Espacial,Alto,Historical_Dataset_Comprehensive
1969-01-01,1969,Consequências de Homem na Lua...,Avanço Espacial (Consequências),Avanço Espacial (Consequências),Médio,Historical_Dataset_Comprehensive
1968-01-01,1968,Evento relacionado a Homem na Lua...,Avanço Espacial (Relacionado),Avanço Espacial (Relacionado),Baixo,Historical_Dataset_Comprehensive
1967-01-01,1967,Evento relacionado a Homem na Lua...,Avanço Espacial (Relacionado),Avanço Espacial (Relacionado),Baixo,Historical_Dataset_Comprehensive
1969-01-01,1969,Evento relacionado a Homem na Lua...,Avanço Espacial (Relacionado),Avanço Espacial (Relacionado),Baixo,Historical_Dataset_Comprehensive
1972-01-01,1972,Evento relacionado a Homem na Lua...,Avanço Espacial (Relacionado),Avanço Espacial (Relacionado),Baixo,Historical_Dataset_Comprehensive
1970-01-01,1970,Microprocessador,Avanço Tecnológico,Avanço Tecnológico,Alto,Historical_Dataset_Comprehensive
1970-01-01,1970,Consequências de Microprocessador...,Avanço Tecnológico (Consequências),Avanço Tecnológico (Consequências),Médio,Historical_Dataset_Comprehensive
1970-01-01,1970,Evento relacionado a Microprocessador...,Avanço Tecnológico (Relacionado),Avanço Tecnológico (Relacionado),Baixo,Historical_Dataset_Comprehensive
1971-01-01,1971,Evento relacionado a Microprocessador...,Avanço Tecnológico (Relacionado),Avanço Tecnológico (Relacionado),Baixo,Historical_Dataset_Comprehensive
1972-01-01,1972,Evento relacionado a Microprocessador...,Avanço Tecnológico (Relacionado),Avanço Tecnológico (Relacionado),Baixo,Historical_Dataset_Comprehensive
1973-01-01,1973,Evento relacionado a Microprocessador...,Avanço Tecnológico (Relacionado),Avanço Tecnológico (Relacionado),Baixo,Historical_Dataset_Comprehensive
1982-01-01,1982,IBM PC,Avanço Tecnológico,Avanço Tecnológico,Alto,Historical_Dataset_Comprehensive
1981-01-01,1981,Consequências de IBM PC...,Avanço Tecnológico (Consequências),Avanço Tecnológico (Consequências),Médio,Historical_Dataset_Comprehensive
1980-01-01,1980,Evento relacionado a IBM PC...,Avanço Tecnológico (Relacionado),Avanço Tecnológico (Relacionado),Baixo,Historical_Dataset_Comprehensive
1983-01-01,1983,Evento relacionado a IBM PC...,Avanço Tecnológico (Relacionado),Avanço Tecnológico (Relacionado),Baixo,Historical_Dataset_Comprehensive
1982-01-01,1982,Evento relacionado a IBM PC...,Avanço Tecnológico (Relacionado),Avanço Tecnológico (Relacionado),Baixo,Historical_Dataset_Comprehensive
1983-01-01,1983,Internet ARPANET,Avanço Tecnológico,Avanço Tecnológico,Alto,Historical_Dataset_Comprehensive
1984-01-01,1984,Consequências de Internet ARPANET...,Avanço Tecnológico (Consequências),Avanço Tecnológico (Consequências),Médio,Historical_Dataset_Comprehensive
1982-01-01,1982,Evento relacionado a Internet ARPANET...,Avanço Tecnológico (Relacionado),Avanço Tecnológico (Relacionado),Baixo,Historical_Dataset_Comprehensive
1981-01-01,1981,Evento relacionado a Internet ARPANET...,Avanço Tecnológico (Relacionado),Avanço Tecnológico (Relacionado),Baixo,Historical_Dataset_Comprehensive
1984-01-01,1984,Evento relacionado a Internet ARPANET...,Avanço Tecnológico (Relacionado),Avanço Tecnológico (Relacionado),Baixo,Historical_Dataset_Comprehensive
1985-01-01,1985,Evento relacionado a Internet ARPANET...,Avanço Tecnológico (Relacionado),Avanço Tecnológico (Relacionado),Baixo,Historical_Dataset_Comprehensive
1990-01-01,1990,World Wide Web,Avanço Tecnológico,Avanço Tecnológico,Alto,Historical_Dataset_Comprehensive
1990-01-01,1990,Consequências de World Wide Web...,Avanço Tecnológico (Consequências),Avanço Tecnológico (Consequências),Médio,Historical_Dataset_Comprehensive
1987-01-01,1987,Evento relacionado a World Wide Web...,Avanço Tecnológico (Relacionado),Avanço Tecnológico (Relacionado),Baixo,Historical_Dataset_Comprehensive
1989-01-01,1989,Evento relacionado a World Wide Web...,Avanço Tecnológico (Relacionado),Avanço Tecnológico (Relacionado),Baixo,Historical_Dataset_Comprehensive
1992-01-01,1992,Evento relacionado a World Wide Web...,Avanço Tecnológico (Relacionado),Avanço Tecnológico (Relacionado),Baixo,Historical_Dataset_Comprehensive
1993-01-01,1993,Evento relacionado a World Wide Web...,Avanço Tecnológico (Relacionado),Avanço Tecnológico (Relacionado),Baixo,Historical_Dataset_Comprehensive
1997-01-01,1997,Clonagem da ovelha Dolly,Avanço Científico,Avanço Científico,Alto,Historical_Dataset_Comprehensive
1997-01-01,1997,Consequências de Clonagem da ovelha Dolly...,Avanço Científico (Consequências),Avanço Científico (Consequências),Médio,Historical_Dataset_Comprehensive
1995-01-01,1995,Evento relacionado a Clonagem da ovelha D...,Avanço Científico (Relacionado),Avanço Científico (Relacionado),Baixo,Historical_Dataset_Comprehensive
1999-01-01,1999,Evento relacionado a Clonagem da ovelha D...,Avanço Científico (Relacionado),Avanço Científico (Relacionado),Baixo,Historical_Dataset_Comprehensive
2000-01-01,2000,Genoma humano sequenciado,Avanço Científico,Avanço Científico,Alto,Historical_Dataset_Comprehensive
2000-01-01,2000,Consequências de Genoma humano sequenciado...,Avanço Científico (Consequências),Avanço Científico (Consequências),Médio,Historical_Dataset_Comprehensive
1997-01-01,1997,Evento relacionado a Genoma humano sequen...,Avanço Científico (Relacionado),Avanço Científico (Relacionado),Baixo,Historical_Dataset_Comprehensive
2000-01-01,2000,Evento relacionado a Genoma humano sequen...,Avanço Científico (Relacionado),Avanço Científico (Relacionado),Baixo,Historical_Dataset_Comprehensive
2002-01-01,2002,Evento relacionado a Genoma humano sequen...,Avanço Científico (Relacionado),Avanço Científico (Relacionado),Baixo,Historical_Dataset_Comprehensive
2001-01-01,2001,Evento relacionado a Genoma humano sequen...,Avanço Científico (Relacionado),Avanço Científico (Relacionado),Baixo,Historical_Dataset_Comprehensive
2008-01-01,2008,iPhone lançado,Avanço Tecnológico,Avanço Tecnológico,Alto,Historical_Dataset_Comprehensive
2008-01-01,2008,Consequências de iPhone lançado...,Avanço Tecnológico (Consequências),Avanço Tecnológico (Consequências),Médio,Historical_Dataset_Comprehensive
2006-01-01,2006,Evento relacionado a iPhone lançado...,Avanço Tecnológico (Relacionado),Avanço Tecnológico (Relacionado),Baixo,Historical_Dataset_Comprehensive
2007-01-01,2007,Evento relacionado a iPhone lançado...,Avanço Tecnológico (Relacionado),Avanço Tecnológico (Relacionado),Baixo,Historical_Dataset_Comprehensive
2010-01-01,2010,Evento relacionado a iPhone lançado...,Avanço Tecnológico (Relacionado),Avanço Tecnológico (Relacionado),Baixo,Historical_Dataset_Comprehensive
2013-01-01,2013,Descoberta do Bóson de Higgs,Avanço Científico,Avanço Científico,Alto,Historical_Dataset_Comprehensive
2013-01-01,2013,Consequências de Descoberta do Bóson de Higgs...,Avanço Científico (Consequências),Avanço Científico (Consequências),Médio,Historical_Dataset_Comprehensive
2011-01-01,2011,Evento relacionado a Descoberta do Bóson ...,Avanço Científico (Relacionado),Avanço Científico (Relacionado),Baixo,Historical_Dataset_Comprehensive
2012-01-01,2012,Evento relacionado a Descoberta do Bóson ...,Avanço Científico (Relacionado),Avanço Científico (Relacionado),Baixo,Historical_Dataset_Comprehensive
2013-01-01,2013,Evento relacionado a Descoberta do Bóson ...,Avanço Científico (Relacionado),Avanço Científico (Relacionado),Baixo,Historical_Dataset_Comprehensive
2014-01-01,2014,Evento relacionado a Descoberta do Bóson ...,Avanço Científico (Relacionado),Avanço Científico (Relacionado),Baixo,Historical_Dataset_Comprehensive
2020-01-01,2020,Vacinas COVID-19 desenvolvidas,Avanço Médico,Avanço Médico,Alto,Historical_Dataset_Comprehensive
2021-01-01,2021,Consequências de Vacinas COVID-19 desenvolvidas...,Avanço Médico (Consequências),Avanço Médico (Consequências),Médio,Historical_Dataset_Comprehensive
2017-01-01,2017,Evento relacionado a Vacinas COVID-19 des...,Avanço Médico (Relacionado),Avanço Médico (Relacionado),Baixo,Historical_Dataset_Comprehensive
2020-01-01,2020,Evento relacionado a Vacinas COVID-19 des...,Avanço Médico (Relacionado),Avanço Médico (Relacionado),Baixo,Historical_Dataset_Comprehensive
2021-01-01,2021,Evento relacionado a Vacinas COVID-19 des...,Avanço Médico (Relacionado),Avanço Médico (Relacionado),Baixo,Historical_Dataset_Comprehensive
2023-01-01,2023,Evento relacionado a Vacinas COVID-19 des...,Avanço Médico (Relacionado),Avanço Médico (Relacionado),Baixo,Historical_Dataset_Comprehensive
1916-01-01,1916,Revolução Russa,Revolução Política,Revolução Política,Alto,Historical_Dataset_Comprehensive
1917-01-01,1917,Consequências de Revolução Russa...,Revolução Política (Consequências),Revolução Política (Consequências),Médio,Historical_Dataset_Comprehensive
1915-01-01,1915,Evento relacionado a Revolução Russa...,Revolução Política (Relacionado),Revolução Política (Relacionado),Baixo,Historical_Dataset_Comprehensive
1917-01-01,1917,Evento relacionado a Revolução Russa...,Revolução Política (Relacionado),Revolução Política (Relacionado),Baixo,Historical_Dataset_Comprehensive
1919-01-01,1919,Evento relacionado a Revolução Russa...,Revolução Política (Relacionado),Revolução Política (Relacionado),Baixo,Historical_Dataset_Comprehensive
1918-01-01,1918,Evento relacionado a Revolução Russa...,Revolução Política (Relacionado),Revolução Política (Relacionado),Baixo,Historical_Dataset_Comprehensive
1919-01-01,1919,Proibição do álcool (EUA),Mudança Social,Mudança Social,Médio,Historical_Dataset_Comprehensive
1919-01-01,1919,Evento relacionado a Proibição do álcool ...,Mudança Social (Relacionado),Mudança Social (Relacionado),Baixo,Historical_Dataset_Comprehensive
1920-01-01,1920,Evento relacionado a Proibição do álcool ...,Mudança Social (Relacionado),Mudança Social (Relacionado),Baixo,Historical_Dataset_Comprehensive
1923-01-01,1923,Evento relacionado a Proibição do álcool ...,Mudança Social (Relacionado),Mudança Social (Relacionado),Baixo,Historical_Dataset_Comprehensive
1934-01-01,1934,Ascensão de Hitler,Mudança Política,Mudança Política,Alto,Historical_Dataset_Comprehensive
1932-01-01,1932,Consequências de Ascensão de Hitler...,Mudança Política (Consequências),Mudança Política (Consequências),Médio,Historical_Dataset_Comprehensive
1930-01-01,1930,Evento relacionado a Ascensão de Hitler...,Mudança Política (Relacionado),Mudança Política (Relacionado),Baixo,Historical_Dataset_Comprehensive
1933-01-01,1933,Evento relacionado a Ascensão de Hitler...,Mudança Política (Relacionado),Mudança Política (Relacionado),Baixo,Historical_Dataset_Comprehensive
1934-01-01,1934,Evento relacionado a Ascensão de Hitler...,Mudança Política (Relacionado),Mudança Política (Relacionado),Baixo,Historical_Dataset_Comprehensive
1935-01-01,1935,Evento relacionado a Ascensão de Hitler...,Mudança Política (Relacionado),Mudança Política (Relacionado),Baixo,Historical_Dataset_Comprehensive
1948-01-01,1948,Independência da Índia,Mudança Geopolítica,Mudança Geopolítica,Alto,Historical_Dataset_Comprehensive
1946-01-01,1946,Consequências de Independência da Índia...,Mudança Geopolítica (Consequências),Mudança Geopolítica (Consequências),Médio,Historical_Dataset_Comprehensive
1945-01-01,1945,Evento relacionado a Independência da Índ...,Mudança Geopolítica (Relacionado),Mudança Geopolítica (Relacionado),Baixo,Historical_Dataset_Comprehensive
1946-01-01,1946,Evento relacionado a Independência da Índ...,Mudança Geopolítica (Relacionado),Mudança Geopolítica (Relacionado),Baixo,Historical_Dataset_Comprehensive
1949-01-01,1949,Evento relacionado a Independência da Índ...,Mudança Geopolítica (Relacionado),Mudança Geopolítica (Relacionado),Baixo,Historical_Dataset_Comprehensive
1948-01-01,1948,Evento relacionado a Independência da Índ...,Mudança Geopolítica (Relacionado),Mudança Geopolítica (Relacionado),Baixo,Historical_Dataset_Comprehensive
1947-01-01,1947,Estado de Israel,Mudança Geopolítica,Mudança Geopolítica,Alto,Historical_Dataset_Comprehensive
1947-01-01,1947,Consequências de Estado de Israel...,Mudança Geopolítica (Consequências),Mudança Geopolítica (Consequências),Médio,Historical_Dataset_Comprehensive
1947-01-01,1947,Evento relacionado a Estado de Israel...,Mudança Geopolítica (Relacionado),Mudança Geopolítica (Relacionado),Baixo,Historical_Dataset_Comprehensive
1949-01-01,1949,Evento relacionado a Estado de Israel...,Mudança Geopolítica (Relacionado),Mudança Geopolítica (Relacionado),Baixo,Historical_Dataset_Comprehensive
1950-01-01,1950,Evento relacionado a Estado de Israel...,Mudança Geopolítica (Relacionado),Mudança Geopolítica (Relacionado),Baixo,Historical_Dataset_Comprehensive
1955-01-01,1955,Caso Brown vs. Conselho de Educação,Mudança Social,Mudança Social,Alto,Historical_Dataset_Comprehensive
1954-01-01,1954,Consequências de Caso Brown vs. Conselho de Edu...,Mudança Social (Consequências),Mudança Social (Consequências),Médio,Historical_Dataset_Comprehensive
1952-01-01,1952,Evento relacionado a Caso Brown vs. Conse...,Mudança Social (Relacionado),Mudança Social (Relacionado),Baixo,Historical_Dataset_Comprehensive
1955-01-01,1955,Evento relacionado a Caso Brown vs. Conse...,Mudança Social (Relacionado),Mudança Social (Relacionado),Baixo,Historical_Dataset_Comprehensive
1957-01-01,1957,Evento relacionado a Caso Brown vs. Conse...,Mudança Social (Relacionado),Mudança Social (Relacionado),Baixo,Historical_Dataset_Comprehensive
1956-01-01,1956,Conferência de Bandung,Movimento Internacional,Movimento Internacional,Médio,Historical_Dataset_Comprehensive
1953-01-01,1953,Evento relacionado a Conferência de Bandu...,Movimento Internacional (Relacionado),Movimento Internacional (Relacionado),Baixo,Historical_Dataset_Comprehensive
1955-01-01,1955,Evento relacionado a Conferência de Bandu...,Movimento Internacional (Relacionado),Movimento Internacional (Relacionado),Baixo,Historical_Dataset_Comprehensive
1956-01-01,1956,Evento relacionado a Conferência de Bandu...,Movimento Internacional (Relacionado),Movimento Internacional (Relacionado),Baixo,Historical_Dataset_Comprehensive
1958-01-01,1958,Evento relacionado a Conferência de Bandu...,Movimento Internacional (Relacionado),Movimento Internacional (Relacionado),Baixo,Historical_Dataset_Comprehensive
1962-01-01,1962,Marcha em Washington (MLK),Movimento Social,Movimento Social,Alto,Historical_Dataset_Comprehensive
1962-01-01,1962,Consequências de Marcha em Washington (MLK)...,Movimento Social (Consequências),Movimento Social (Consequências),Médio,Historical_Dataset_Comprehensive
1962-01-01,1962,Evento relacionado a Marcha em Washington...,Movimento Social (Relacionado),Movimento Social (Relacionado),Baixo,Historical_Dataset_Comprehensive
1963-01-01,1963,Evento relacionado a Marcha em Washington...,Movimento Social (Relacionado),Movimento Social (Relacionado),Baixo,Historical_Dataset_Comprehensive
1964-01-01,1964,Evento relacionado a Marcha em Washington...,Movimento Social (Relacionado),Movimento Social (Relacionado),Baixo,Historical_Dataset_Comprehensive
1964-01-01,1964,Lei dos Direitos Civis (EUA),Mudança Social,Mudança Social,Alto,Historical_Dataset_Comprehensive
1964-01-01,1964,Consequências de Lei dos Direitos Civis (EUA)...,Mudança Social (Consequências),Mudança Social (Consequências),Médio,Historical_Dataset_Comprehensive
1963-01-01,1963,Evento relacionado a Lei dos Direitos Civ...,Mudança Social (Relacionado),Mudança Social (Relacionado),Baixo,Historical_Dataset_Comprehensive
1964-01-01,1964,Evento relacionado a Lei dos Direitos Civ...,Mudança Social (Relacionado),Mudança Social (Relacionado),Baixo,Historical_Dataset_Comprehensive
1966-01-01,1966,Evento relacionado a Lei dos Direitos Civ...,Mudança Social (Relacionado),Mudança Social (Relacionado),Baixo,Historical_Dataset_Comprehensive
1969-01-01,1969,Primavera de Praga,Movimento Social,Movimento Social,Médio,Historical_Dataset_Comprehensive
1967-01-01,1967,Evento relacionado a Primavera de Praga...,Movimento Social (Relacionado),Movimento Social (Relacionado),Baixo,Historical_Dataset_Comprehensive
1968-01-01,1968,Evento relacionado a Primavera de Praga...,Movimento Social (Relacionado),Movimento Social (Relacionado),Baixo,Historical_Dataset_Comprehensive
1971-01-01,1971,Evento relacionado a Primavera de Praga...,Movimento Social (Relacionado),Movimento Social (Relacionado),Baixo,Historical_Dataset_Comprehensive
1972-01-01,1972,Acordos de Paris (Vietnã),Paz Internacional,Paz Internacional,Médio,Historical_Dataset_Comprehensive
1971-01-01,1971,Evento relacionado a Acordos de Paris (Vi...,Paz Internacional (Relacionado),Paz Internacional (Relacionado),Baixo,Historical_Dataset_Comprehensive
1972-01-01,1972,Evento relacionado a Acordos de Paris (Vi...,Paz Internacional (Relacionado),Paz Internacional (Relacionado),Baixo,Historical_Dataset_Comprehensive
1974-01-01,1974,Evento relacionado a Acordos de Paris (Vi...,Paz Internacional (Relacionado),Paz Internacional (Relacionado),Baixo,Historical_Dataset_Comprehensive
1977-01-01,1977,Morte de Mao Tsé-Tung,Mudança Política,Mudança Política,Alto,Historical_Dataset_Comprehensive
1975-01-01,1975,Consequências de Morte de Mao Tsé-Tung...,Mudança Política (Consequências),Mudança Política (Consequências),Médio,Historical_Dataset_Comprehensive
1973-01-01,1973,Evento relacionado a Morte de Mao Tsé-Tun...,Mudança Política (Relacionado),Mudança Política (Relacionado),Baixo,Historical_Dataset_Comprehensive
1976-01-01,1976,Evento relacionado a Morte de Mao Tsé-Tun...,Mudança Política (Relacionado),Mudança Política (Relacionado),Baixo,Historical_Dataset_Comprehensive
1978-01-01,1978,Evento relacionado a Morte de Mao Tsé-Tun...,Mudança Política (Relacionado),Mudança Política (Relacionado),Baixo,Historical_Dataset_Comprehensive
1989-01-01,1989,Queda do Muro de Berlin,Mudança Geopolítica,Mudança Geopolítica,Alto,Historical_Dataset_Comprehensive
1990-01-01,1990,Consequências de Queda do Muro de Berlin...,Mudança Geopolítica (Consequências),Mudança Geopolítica (Consequências),Médio,Historical_Dataset_Comprehensive
1988-01-01,1988,Evento relacionado a Queda do Muro de Ber...,Mudança Geopolítica (Relacionado),Mudança Geopolítica (Relacionado),Baixo,Historical_Dataset_Comprehensive
1989-01-01,1989,Evento relacionado a Queda do Muro de Ber...,Mudança Geopolítica (Relacionado),Mudança Geopolítica (Relacionado),Baixo,Historical_Dataset_Comprehensive
1990-01-01,1990,Evento relacionado a Queda do Muro de Ber...,Mudança Geopolítica (Relacionado),Mudança Geopolítica (Relacionado),Baixo,Historical_Dataset_Comprehensive
1989-01-01,1989,Unificação da Alemanha,Mudança Geopolítica,Mudança Geopolítica,Alto,Historical_Dataset_Comprehensive
1991-01-01,1991,Consequências de Unificação da Alemanha...,Mudança Geopolítica (Consequências),Mudança Geopolítica (Consequências),Médio,Historical_Dataset_Comprehensive
1987-01-01,1987,Evento relacionado a Unificação da Aleman...,Mudança Geopolítica (Relacionado),Mudança Geopolítica (Relacionado),Baixo,Historical_Dataset_Comprehensive
1989-01-01,1989,Evento relacionado a Unificação da Aleman...,Mudança Geopolítica (Relacionado),Mudança Geopolítica (Relacionado),Baixo,Historical_Dataset_Comprehensive
1990-01-01,1990,Evento relacionado a Unificação da Aleman...,Mudança Geopolítica (Relacionado),Mudança Geopolítica (Relacionado),Baixo,Historical_Dataset_Comprehensive
1991-01-01,1991,Evento relacionado a Unificação da Aleman...,Mudança Geopolítica (Relacionado),Mudança Geopolítica (Relacionado),Baixo,Historical_Dataset_Comprehensive
1991-01-01,1991,Tratado de Maastricht,Mudança Política,Mudança Política,Médio,Historical_Dataset_Comprehensive
1991-01-01,1991,Evento relacionado a Tratado de Maastrich...,Mudança Política (Relacionado),Mudança Política (Relacionado),Baixo,Historical_Dataset_Comprehensive
1993-01-01,1993,Evento relacionado a Tratado de Maastrich...,Mudança Política (Relacionado),Mudança Política (Relacionado),Baixo,Historical_Dataset_Comprehensive
1994-01-01,1994,Evento relacionado a Tratado de Maastrich...,Mudança Política (Relacionado),Mudança Política (Relacionado),Baixo,Historical_Dataset_Comprehensive
1995-01-01,1995,Eleições na África do Sul,Mudança Política,Mudança Política,Alto,Historical_Dataset_Comprehensive
1995-01-01,1995,Consequências de Eleições na África do Sul...,Mudança Política (Consequências),Mudança Política (Consequências),Médio,Historical_Dataset_Comprehensive
1991-01-01,1991,Evento relacionado a Eleições na África d...,Mudança Política (Relacionado),Mudança Política (Relacionado),Baixo,Historical_Dataset_Comprehensive
1994-01-01,1994,Evento relacionado a Eleições na África d...,Mudança Política (Relacionado),Mudança Política (Relacionado),Baixo,Historical_Dataset_Comprehensive
1995-01-01,1995,Evento relacionado a Eleições na África d...,Mudança Política (Relacionado),Mudança Política (Relacionado),Baixo,Historical_Dataset_Comprehensive
2005-01-01,2005,Furacão Katrina,Desastre Natural,Desastre Natural,Alto,Historical_Dataset_Comprehensive
2006-01-01,2006,Consequências de Furacão Katrina...,Desastre Natural (Consequências),Desastre Natural (Consequências),Médio,Historical_Dataset_Comprehensive
2003-01-01,2003,Evento relacionado a Furacão Katrina...,Desastre Natural (Relacionado),Desastre Natural (Relacionado),Baixo,Historical_Dataset_Comprehensive
